faculty_school_id,school_id,first_name,middle_name,last_name,primary_email_address,term_code,formatted_course,status_code,section_code,section_number
"lthompson320","tmartin311","Thomas","Mumford","Martin","14@unicon.net","FA12","PSY220","E","aa790d35-4b66-486b-999c-9a4a71f21e6f","451"
"etaylor310","mjackson39","Mary","Mumford","Jackson","12@unicon.net","FA12","PHY484","E","2b806475-0278-4ec9-93cc-29a1c6f00913","366"
"etaylor310","jrobinson38","Joseph","Mumford","Robinson","11@unicon.net","FA12","PHY484","E","2b806475-0278-4ec9-93cc-29a1c6f00913","366"
"etaylor310","jjones37","Jennifer","Mumford","Jones","10@unicon.net","FA12","PHY484","E","2b806475-0278-4ec9-93cc-29a1c6f00913","366"
"etaylor310","jmoore36","Jennifer","Mumford","Moore","9@unicon.net","FA12","PHY484","E","2b806475-0278-4ec9-93cc-29a1c6f00913","366"
"etaylor310","jgarcia35","John","Mumford","Garcia","8@unicon.net","FA12","PHY484","E","2b806475-0278-4ec9-93cc-29a1c6f00913","366"
"etaylor310","jmartin34","Jennifer","Mumford","Martin","7@unicon.net","FA12","PHY484","E","2b806475-0278-4ec9-93cc-29a1c6f00913","366"
"etaylor310","jthompson33","Jennifer","Mumford","Thompson","6@unicon.net","FA12","PHY484","E","2b806475-0278-4ec9-93cc-29a1c6f00913","366"
"etaylor310","emiller32","Elizabeth","Mumford","Miller","5@unicon.net","FA12","PHY484","E","2b806475-0278-4ec9-93cc-29a1c6f00913","366"
"etaylor310","jtaylor31","James","Mumford","Taylor","4@unicon.net","FA12","PHY484","E","2b806475-0278-4ec9-93cc-29a1c6f00913","366"
"etaylor310","btaylor30","Barbara","Mumford","Taylor","3@unicon.net","FA12","PHY484","E","2b806475-0278-4ec9-93cc-29a1c6f00913","366"
"dwilson220","jwilson219","John","Mumford","Wilson","21@unicon.net","FA12","MAT443","E","a9226ac6-0404-4c27-a358-b2cbca52e859","897"
"dwilson220","janderson218","James","Mumford","Anderson","20@unicon.net","FA12","MAT443","E","a9226ac6-0404-4c27-a358-b2cbca52e859","897"
"dwilson220","mrobinson217","Michael","Mumford","Robinson","19@unicon.net","FA12","MAT443","E","a9226ac6-0404-4c27-a358-b2cbca52e859","897"
"dwilson220","jthompson216","Jennifer","Mumford","Thompson","18@unicon.net","FA12","MAT443","E","a9226ac6-0404-4c27-a358-b2cbca52e859","897"
"dwilson220","jjohnson215","Joseph","Mumford","Johnson","17@unicon.net","FA12","MAT443","E","a9226ac6-0404-4c27-a358-b2cbca52e859","897"
"dwilson220","mwilliams214","Maria","Mumford","Williams","16@unicon.net","FA12","MAT443","E","a9226ac6-0404-4c27-a358-b2cbca52e859","897"
"dwilson220","mwilliams213","Margaret","Mumford","Williams","15@unicon.net","FA12","MAT443","E","a9226ac6-0404-4c27-a358-b2cbca52e859","897"
"dwilson220","jrobinson212","John","Mumford","Robinson","14@unicon.net","FA12","MAT443","E","a9226ac6-0404-4c27-a358-b2cbca52e859","897"
"dwilson220","jwilliams211","Joseph","Mumford","Williams","13@unicon.net","FA12","MAT443","E","a9226ac6-0404-4c27-a358-b2cbca52e859","897"
"rjones210","csimth29","Charles","Mumford","Simth","11@unicon.net","FA12","ECN443","E","e5caf5ed-95b1-470c-8a0e-f13a52ae78e2","709"
"rjones210","dthompson28","David","Mumford","Thompson","10@unicon.net","FA12","ECN443","E","e5caf5ed-95b1-470c-8a0e-f13a52ae78e2","709"
"rjones210","rjones27","Robert","Mumford","Jones","9@unicon.net","FA12","ECN443","E","e5caf5ed-95b1-470c-8a0e-f13a52ae78e2","709"
"rjones210","rjones26","Robert","Mumford","Jones","8@unicon.net","FA12","ECN443","E","e5caf5ed-95b1-470c-8a0e-f13a52ae78e2","709"
"rjones210","mdavis25","Margaret","Mumford","Davis","7@unicon.net","FA12","ECN443","E","e5caf5ed-95b1-470c-8a0e-f13a52ae78e2","709"
"rjones210","jdavis24","Jennifer","Mumford","Davis","6@unicon.net","FA12","ECN443","E","e5caf5ed-95b1-470c-8a0e-f13a52ae78e2","709"
"jmartinez110","jjackson10","Joseph","Mumford","Jackson","1@unicon.net","FA12","CHM451","E","4f82f0d3-b5f5-4897-aa63-571abbd7e3bd","128"
"jmartinez110","rmartinez11","Robert","Mumford","Martinez","2@unicon.net","FA12","CHM451","E","4f82f0d3-b5f5-4897-aa63-571abbd7e3bd","128"
